success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,participant,collect,rt,stimulus,response,response_index,question_order,view_history,task,key_press,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_oobs,coherent_movement_direction,coherence_movement,opposite_coherence_movement,coherent_orientation,coherence_orientation,opposite_coherence_orientation,movement_speed,oob_size,oob_color,movement_speed_randomisation,aperture_width,aperture_height,background_color,aperture_background_color,frame_rate,number_of_frames,stimulus_type,aperture_shape,random_movement_type,random_orientation_type,number_of_apertures,density_unit_area,prompt,aperture_position_left,aperture_position_top,aperture_mode,congruency,isCorrect,id
success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,participant,collect,rt,stimulus,response,response_index,question_order,view_history,task,key_press,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_oobs,coherent_movement_direction,coherence_movement,opposite_coherence_movement,coherent_orientation,coherence_orientation,opposite_coherence_orientation,movement_speed,oob_size,oob_color,movement_speed_randomisation,aperture_width,aperture_height,background_color,aperture_background_color,frame_rate,number_of_frames,stimulus_type,aperture_shape,random_movement_type,random_orientation_type,number_of_apertures,density_unit_area,prompt,aperture_position_left,aperture_position_top,aperture_mode,congruency,isCorrect,id
true,false,[],[],[],preload,0,2.1.0,159,cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-button-response,1,2.2.0,1478,cf,true,1313,flags.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,2,2.1.0,3151,cf,,1671,"
    <div class = ""frame""><h2>Üdvözlünk a <b>Metatudomány Kutatócsoport</b> vizsgálatában!</h2>
    <p>Egy tudományos kutatásban veszel részt, amelynek vezetője <b>Bognár Miklós</b>, az ELTE Affektív Pszichológia Tanszékének kutatója.
    A kutatás célja megvizsgálni, hogy miként működik a kognitív kontroll.</p>
    <h3>Részvétel</h3>
    <p>A kutatásban való részvétel teljesen önkéntes. A vizsgálatot bármikor indoklás nélkül megszakíthatod.
    Ha bármilyen kérdésed, észrevételed vagy problémád van a kutatással kapcsolatban,
    írj Bognár Miklósnak a <a href=""mailto:bognar.miklos@ppk.elte.hu"">bognar.miklos@ppk.elte.hu</a> címre.</p></div>
  ",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,fullscreen,3,2.1.0,5891,cf,,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-multi-choice,4,2.2.0,9544,cf,true,3650,,"{""consent"":""Igen""}",[0],[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,5,2.1.0,15727,cf,true,6180,,"{""response"":""D44G5S""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-multi-choice,6,2.2.0,19827,cf,true,4098,,"{""Gender"":""Férfi""}",[0],[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,7,2.1.0,24360,cf,true,4531,,"{""response"":""21""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,8,2.1.0,65141,cf,,40779,,,,,"[{""page_index"":0,""viewing_time"":1350},{""page_index"":1,""viewing_time"":10981},{""page_index"":2,""viewing_time"":22554},{""page_index"":3,""viewing_time"":5894}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,9,2.1.0,71676,cf,,6534,"<div class = ""frame""><h2>Gyakorló blokk</h2><p style=""text-align: center; max-width: 800px; margin: auto; font-size: 24px"">A kísérlet egy gyakorló blokkal kezdődik.
            Kérjük, törekedj a minél gyorsabb és pontosabb válaszadásra! Amint készen állsz, nyomj meg egy tetszőleges billentyűt a kezdéshez!</p></div>", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,10,2.1.0,72342,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,11,2.0.0,73859,cf,true,-1,,,,,,expTrial,,false,"[""a"",""e"",""n"",""k""]",n,1500,true,40,270,60,0,270,100,0,9,7,black,0,600,400,white,#0000,16.755555555555556,90,4,0,0,0,1,null,null,50,50,overlay,congruent,false,0
,,,,,html-keyboard-response,12,2.1.0,75862,cf,,null,"<p style=""font-size:32px"">Túl lassú voltál!</p>",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,13,2.1.0,76519,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,14,2.0.0,78024,cf,true,-1,,,,,,expTrial,,false,"[""a"",""e"",""n"",""k""]",a,1500,true,40,180,60,0,180,0,100,9,7,black,0,600,400,white,#0000,16.622222222222224,90,4,0,0,0,1,null,null,50,50,overlay,incongruent,false,1
,,,,,html-keyboard-response,15,2.1.0,80040,cf,,null,"<p style=""font-size:32px"">Túl lassú voltál!</p>",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,16,2.1.0,80701,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,17,2.0.0,81614,cf,true,910,,,,,,expTrial,n,false,"[""a"",""e"",""n"",""k""]",e,1500,true,40,90,60,0,90,0,100,9,7,black,0,600,400,white,#0000,16.636363636363637,55,4,0,0,0,1,null,null,50,50,overlay,incongruent,false,2
,,,,,html-keyboard-response,18,2.1.0,83625,cf,,null,"<p style=""font-size:32px"">Hibás válasz!</p>",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,19,2.1.0,84296,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,20,2.0.0,85012,cf,true,714,,,,,,expTrial,k,true,"[""a"",""e"",""n"",""k""]",k,1500,true,40,0,60,0,0,100,0,9,7,black,0,600,400,white,#0000,16.6046511627907,43,4,0,0,0,1,null,null,50,50,overlay,congruent,true,3
,,,,,html-keyboard-response,22,2.1.0,85666,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,23,2.0.0,86553,cf,true,884,,,,,,expTrial,e,false,"[""a"",""e"",""n"",""k""]",n,1500,true,40,270,60,0,270,0,100,9,7,black,0,600,400,white,#0000,16.58490566037736,53,4,0,0,0,1,null,null,50,50,overlay,incongruent,false,4
,,,,,html-keyboard-response,24,2.1.0,88563,cf,,null,"<p style=""font-size:32px"">Hibás válasz!</p>",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,25,2.1.0,89216,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,26,2.0.0,90079,cf,true,861,,,,,,expTrial,a,true,"[""a"",""e"",""n"",""k""]",a,1500,true,40,180,60,0,180,100,0,9,7,black,0,600,400,white,#0000,17,51,4,0,0,0,1,null,null,50,50,overlay,congruent,true,5
,,,,,html-keyboard-response,28,2.1.0,90733,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,29,2.0.0,91462,cf,true,728,,,,,,expTrial,e,true,"[""a"",""e"",""n"",""k""]",e,1500,true,40,90,60,0,90,100,0,9,7,black,0,600,400,white,#0000,16.522727272727273,44,4,0,0,0,1,null,null,50,50,overlay,congruent,true,6
,,,,,html-keyboard-response,31,2.1.0,92129,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rok,32,2.0.0,92705,cf,true,574,,,,,,expTrial,a,true,"[""a"",""e"",""n"",""k""]",a,1500,true,40,180,60,0,180,100,0,9,7,black,0,600,400,white,#0000,16.542857142857144,35,4,0,0,0,1,null,null,50,50,overlay,congruent,true,7
,,,,,html-keyboard-response,34,2.1.0,93357,cf,,null,<h1>+</h1>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
